name,year,latitude,longitude,city,region,zipCode,cuisine,price,url,stars
L'Atelier de Joël Robuchon,2019,22.281199,114.15816,Hong Kong,Hong Kong,N/A,French contemporary,Max,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/l-atelier-de-joel-robuchon,three
Sushi Shikon,2019,22.28511,114.15208,Hong Kong,Hong Kong,N/A,Sushi,Max,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-shikon,three
The Eight,2019,22.190475,113.54341,Macau,Macau,N/A,Chinese,Max,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/the-eight,three
Robuchon au Dôme,2019,22.189949,113.54395,Macau,Macau,N/A,French contemporary,Max,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/robuchon-au-dome,three
Jade Dragon,2019,22.149137,113.56715,Macau,Macau,N/A,Cantonese,Min,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/jade-dragon,three
Maaemo,2019,59.910477,10.760408,Oslo,Norway,191,Modern cuisine,Max,https://guide.michelin.com/no/en/oslo-region/oslo/restaurant/maaemo,three
Masa,2019,40.76855,-73.98335,New York,New York City,10019,Japanese,Max,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/masa,three
Per Se,2019,40.76828,-73.98292,New York,New York City,10019,Contemporary,Max,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/per-se,three
Le Bernardin,2019,40.76177,-73.98223,New York,New York City,10019,Seafood,Max,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-bernardin,three
Eleven Madison Park,2019,40.7417,-73.98712,New York,New York City,10010,Contemporary,Max,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/eleven-madison-park,three
Chef's Table at Brooklyn Fare,2019,40.68872,-73.98581,New York,New York City,10018,Contemporary,Max,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare,three
La Yeon,2019,37.555813,127.00517,Seoul,South Korea,N/A,Korean,Max,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/la-yeon,three
Gaon,2019,37.52265,127.03595,Seoul,South Korea,N/A,Korean,Max,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/gaon,three
Frantzén,2019,59.33418,18.05812,Stockholm,Sweden,111 22,Modern cuisine,Max,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/frantzen,three
Le Palais,2019,25.049496,121.51674,Taipei,Taipei,110,Cantonese,Min,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/le-palais,three
The Inn at Little Washington,2019,38.713623,-78.16208,"Washington, D.C.",Washington DC,22747,American,Max,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/the-inn-at-little-washington,three
Fat Duck,2019,51.50828,-0.70232,Bray,United Kingdom,SL6 2AQ,Creative,N/A,https://guide.michelin.com/gb/en/buckinghamshire/bray/restaurant/fat-duck,three
Waterside Inn,2019,51.50773,-0.70121,Bray,United Kingdom,SL6 2AT,Classic French,N/A,https://guide.michelin.com/gb/en/buckinghamshire/bray/restaurant/waterside-inn,three
Alain Ducasse at The Dorchester,2019,51.50712,-0.1525201,Mayfair,United Kingdom,W1K 1QA,French,N/A,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/alain-ducasse-at-the-dorchester,three
The Araki,2019,51.511826,-0.140389,Mayfair,United Kingdom,W1S 3BF,Japanese,N/A,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/the-araki,three
Gordon Ramsay,2019,51.48546,-0.1620201,Chelsea,United Kingdom,SW3 4HP,French,N/A,https://guide.michelin.com/gb/en/greater-london/chelsea/restaurant/gordon-ramsay,three
